comment_id,author,author_channel_id,text,like_count,published_at,updated_at,cleaned_text,original_length,cleaned_length,sentiment_label,sentiment_confidence,sentiment_prediction,prob_negative,prob_neutral,prob_positive,manual_correction
UgzeXSelTVLuObwtCf14AaABAg,@ktom,UCugDBAll0jwAthUaeZzQGLA,Nice to see Kurzgesagt getting into the coffee game 🐦‍,1,2025-05-22T20:09:06Z,2025-05-22T20:09:06Z,Nice to see Kurzgesagt getting into the coffee game ‍,54,53,Positive,0.9551659226417542,2,0.0030382375698536634,0.041795842349529266,0.9551659226417542,False
UgxKGip-_2KtOR7zUoh4AaABAg,@ramong26,UCQye_QAIcLtyf4hMH0hCNHw,"Instructions from me to Nespresso, add a freaking descaling button. Press once. Issue solved.",0,2025-05-21T15:19:51Z,2025-05-21T15:19:51Z,"Instructions from me to Nespresso, add a freaking descaling button. Press once. Issue solved.",93,93,Negative,0.47791245579719543,1,0.26004287600517273,0.47791245579719543,0.26204463839530945,True
UgyR2F6VnpfGcS-35lh4AaABAg,@spartanGTA6,UCeAprMuT4efhc5V_UozwbDA,"Hey Nespresso. Great product. Got this recently as a b'day present. Quick question pls, how often am I supposed to clean / descale? Everyday after i finish using it or once a week or other 😅",0,2025-05-15T20:48:40Z,2025-05-15T20:48:40Z,"Hey Nespresso. Great product. Got this recently as a b'day present. Quick question pls, how often am I supposed to clean / descale? Everyday after i finish using it or once a week or other",190,188,Positive,0.9423922896385193,2,0.006181296892464161,0.05142645537853241,0.9423922896385193,False
UgzWVTLMraECmNlRQU94AaABAg,@vanessam.v2779,UCOkEKQZR7Tkcqyi-qXH2X9w,wow only 432 steps?!  so simple,0,2025-05-14T15:15:13Z,2025-05-14T15:15:13Z,wow only 432 steps?! so simple,31,30,Positive,0.9139625430107117,2,0.017164776101708412,0.06887267529964447,0.9139625430107117,False
Ugx7Vrvc6XSCYQ9qJCF4AaABAg,@bannermanfamilyfmailly-l8l,UCmuBtP1U_p33MY7cwF6YPYg,This is insanley complex and hasnt worked for me at all,1,2025-05-03T18:27:45Z,2025-05-03T18:27:45Z,This is insanley complex and hasnt worked for me at all,55,55,Negative,0.9042258262634277,0,0.9042258262634277,0.08547733724117279,0.010296795517206192,False
Ugz1kdy3P9exTDv-UCt4AaABAg,@susannahbennett6562,UCjTHQM1aRV8k2-WG_gVxl2w,I also used natural white vinegar instead of chemical based descale solution . The video and read along transcript was excellent.  Fabulous coffee. Love my Vertuo Pop machine.  ❤,1,2025-04-26T18:54:17Z,2025-04-26T18:54:17Z,I also used natural white vinegar instead of chemical based descale solution . The video and read along transcript was excellent. Fabulous coffee. Love my Vertuo Pop machine.,178,174,Positive,0.9806411266326904,2,0.003670099191367626,0.015688812360167503,0.9806411266326904,False
UgzQ6-L8dlGY6SreMD94AaABAg,@britishguyincanada443,UCsGNW2zpm2dzvw8cFRzIbqg,Love my Nespresso machine but this is just such a nuisance process !!,0,2025-04-26T10:34:55Z,2025-04-26T10:34:55Z,Love my Nespresso machine but this is just such a nuisance process !!,69,69,Negative,0.6587137579917908,0,0.6587137579917908,0.18206121027469635,0.15922507643699646,True
UgzXlC0J9eh02CWa0Ch4AaABAg,@Iamyour999,UC_j58ZCRQngKFCEMD7Hl8TA,"Name of song
😅",0,2025-04-26T02:00:51Z,2025-04-26T02:00:51Z,Name of song,14,12,Neutral,0.8268480896949768,1,0.08760245144367218,0.8268480896949768,0.08554945886135101,False
UgzUHyfdzDlWTUVgrpV4AaABAg,@MrCocoPuff_,UCn3U8j5QKhx0RISwRJIXgvw,Is this he same guy from kurgsgasart?,0,2025-04-20T13:52:52Z,2025-04-20T13:52:52Z,Is this he same guy from kurgsgasart?,37,37,Neutral,0.9393550753593445,1,0.03033001907169819,0.9393550753593445,0.030314942821860313,False
UgyuUuoxoVL3aYzfLVV4AaABAg,@maryhossier3380,UCdzvr3YW5x8IEYEKpo2DxlA,"I just did the descaling via the cleaning mode and used descaling solution. Empty it all, clean water and descaling solution in tank. Lock machine, press button 3 times quickly, let it run. Repeated process until all solution water ran through, then filled tank with clean water and repeated until full tank was used. Way easier than the descaling mode.",2,2025-04-20T10:37:23Z,2025-04-20T10:37:23Z,"I just did the descaling via the cleaning mode and used descaling solution. Empty it all, clean water and descaling solution in tank. Lock machine, press button 3 times quickly, let it run. Repeated process until all solution water ran through, then filled tank with clean water and repeated until full tank was used. Way easier than the descaling mode.",353,353,Negative,0.5551245212554932,1,0.026953451335430145,0.5551245212554932,0.4179219901561737,True
UgwuPYI5zW0oCRTfMV94AaABAg,@gnotnats,UCQZgxqcH1F-r7kHyg0Rcx0g,They used the Kurzgesagt voice?,0,2025-04-19T11:32:20Z,2025-04-19T11:32:20Z,They used the Kurzgesagt voice?,31,31,Neutral,0.9189025163650513,1,0.051813457161188126,0.9189025163650513,0.029284024611115456,False
UgzjzVCiqSLAVXE5Lq54AaABAg,@CryptoDadGuy,UCH4u3vITpZF-khGtV2PACtA,Kurzgesart is that you?,0,2025-04-14T15:56:33Z,2025-04-14T15:56:33Z,Kurzgesart is that you?,23,23,Neutral,0.8172371983528137,1,0.10763435065746307,0.8172371983528137,0.0751284584403038,False
